elapsed_s,tag_hex_id,position_x,position_y,yaw_map
23.196,0xC0,0.1,2.348,359.44
23.199,0xC0,0.1,2.3564,359.44
23.233,0xC0,0.1,2.3909,359.88
23.236,0xC0,0.1,2.3991,359.88
23.24,0xC0,0.1,2.4075,359.88
23.244,0xC0,0.1,2.4166,359.88
23.282,0xC0,0.1,2.4557,359.94
23.285,0xC0,0.1,2.4619,359.94
23.292,0xC0,0.1,2.4672,359.94
23.296,0xC0,0.1,2.4744,359.94
23.3,0xC0,0.1,2.4787,359.94
23.329,0xC0,0.1,2.5073,0.25
23.332,0xC0,0.1,2.5113,0.25
23.375,0xC0,0.1,2.5521,0.25
23.424,0xC0,0.1,2.5939,0.75
23.427,0xC0,0.1,2.5905,0.75
23.433,0xC0,0.1,2.5877,0.75
23.436,0xC0,0.1,2.5832,0.75
23.44,0xC0,0.1,2.5806,0.75
23.442,0xC0,0.1,2.587,0.75
23.447,0xC0,0.1,2.5922,0.75
23.472,0xC0,0.1,2.6267,0.69
23.474,0xC0,0.1,2.6361,0.69
23.478,0xC0,0.1,2.6392,0.69
23.48,0xC0,0.1,2.641,0.69
23.517,0xC0,0.1,2.6741,0.69
23.519,0xC0,0.1,2.6752,0.69
23.523,0xC0,0.1,2.6757,0.69
23.525,0xC0,0.1,2.6762,0.69
23.529,0xC0,0.1,2.6788,0.69
23.532,0xC0,0.1,2.6855,0.69
23.566,0xC0,0.1,2.7166,0.69
23.569,0xC0,0.1,2.7214,0.69
23.574,0xC0,0.1,2.7294,0.69
23.578,0xC0,0.1,2.7404,0.69
23.583,0xC0,0.1,2.7498,0.69
23.586,0xC0,0.1,2.7596,0.69
23.61,0xC0,0.1,2.7877,359.94
23.614,0xC0,0.1,2.7949,359.94
23.618,0xC0,0.1,2.8018,359.94
23.625,0xC0,0.1,2.8094,359.94
23.66,0xC0,0.1,2.8469,359.31
23.663,0xC0,0.1,2.8456,359.31
23.705,0xC0,0.1,2.8713,359.31
23.707,0xC0,0.1,2.8532,359.31
23.711,0xC0,0.1,2.8353,359.31
23.713,0xC0,0.1,2.825,359.31
23.717,0xC0,0.1,2.8216,359.31
23.719,0xC0,0.1,2.8183,359.31
23.722,0xC0,0.1,2.8148,359.31
23.754,0xC0,0.1,2.8324,359.31
23.758,0xC0,0.1,2.8299,359.31
23.764,0xC0,0.1,2.8318,359.31
23.77,0xC0,0.1,2.8365,359.31
23.804,0xC0,0.1,2.8562,359.31
23.808,0xC0,0.1,2.8532,359.31
23.813,0xC0,0.1,2.8444,359.31
23.816,0xC0,0.1,2.8363,359.31
23.821,0xC0,0.1,2.8284,359.31
23.826,0xC0,0.1,2.8228,359.31
23.91,0xC0,0.1,2.8579,359.31
23.914,0xC0,0.1,2.848,359.31
23.919,0xC0,0.1,2.837,359.31
23.922,0xC0,0.1,2.8342,359.31
23.925,0xC0,0.1,2.8336,359.31
23.928,0xC0,0.1,2.8313,359.31
23.935,0xC0,0.1,2.8287,359.31
23.953,0xC0,0.1,2.8263,358.19
